Ticker,Nome,Setor,Preço Atual,P/L (P/E),P/VP (P/B),Div. Yield (%),Market Cap,ROE (%),ROIC (%),Data IPO,Lucro >0 (4A)?,Receita Sobe?
AEL^A,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AEL^B,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AEM,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AEMD,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AENZ,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AEO,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AEP,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AEPPL,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AEPPZ,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AER,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AERI,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AES,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AGBAU,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AGBAW,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AGC,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AGCB,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AGCO,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AGCUU,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AGCWW,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AGD,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AGEN,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AGFS,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AGI,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AGIO,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AGLE,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AGM,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AGM.A,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AGMH,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AGM^C,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AGM^D,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AGM^E,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AGM^F,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AGNC,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AGNCM,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AGNCN,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AGNCO,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AGNCP,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AGO,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AGO^B,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AGO^E,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AGO^F,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AGR,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AGRO,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AGRX,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AGS,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AGTC,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AGX,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AGYS,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AGZD,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AHAC,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AHACU,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AHACW,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AHC,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AHCO,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AHH,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AHH^A,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AHL^C,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AHL^D,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AHL^E,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AHPI,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AHT,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AHT^D,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AHT^F,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AHT^G,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AHT^H,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AHT^I,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AI,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AIA,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AIC,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AIF,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AIG,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AIG^A,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AIH,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
AIHS,Erro ao buscar dados,-,,,,,,,,N/A,N/A,N/A
